"part","term","statistic","Total","Single Family","Multifamily"
"estimates","treated_post","estimate","-0.222","-0.225","-0.235"
"estimates","treated_post","std.error","(0.158)","(0.114)","(0.337)"
"gof","Num.Obs.","","600","600","600"
"gof","R2","","0.761","0.922","0.495"
"gof","R2 Adj.","","0.730","0.912","0.429"
"gof","R2 Within","","0.021","0.067","0.003"
"gof","R2 Within Adj.","","0.019","0.066","0.002"
"gof","AIC","","651.7","-59.1","1822.1"
"gof","BIC","","959.5","248.7","2129.9"
"gof","RMSE","","0.37","0.20","0.98"
"gof","Std.Errors","","by: county_id","by: county_id","by: county_id"
"gof","FE: county_id","","X","X","X"
"gof","FE: time_id","","X","X","X"
